City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,nizhnyaya poyma,56.1622,97.1933,-580.4599999999999,100,13,0.7,RU,1702254412
159,hobyo,5.3505,48.5268,-519.61,78,35,8.09,SO,1702254412
160,ribeira brava,32.65,-17.0667,-525.3499999999999,83,72,1.21,PT,1702254412
161,antalaha,-14.9003,50.2788,-522.9799999999999,90,99,2.42,MG,1702254413
162,puerto tirol,-27.3722,-59.0821,-521.25,78,0,2.57,AR,1702254413
163,sittwe,20.15,92.9,-527.17,83,5,2.74,MM,1702254413
164,enewetak,11.3474,162.3373,-518.5899999999999,77,94,8.04,MH,1702253832
165,talara,-4.5772,-81.2719,-523.88,88,0,3.09,PE,1702254414
166,fort st. john,56.2499,-120.8529,-550.3599999999999,74,40,2.57,CA,1702254180
167,mil'kovo,55.6078,37.7956,-555.0,94,100,4.86,RU,1702254096
168,lowestoft,52.4752,1.7516,-535.6099999999999,84,44,11.14,GB,1702254415
169,vallenar,-28.5708,-70.7581,-529.8599999999999,56,0,2.13,CL,1702254415
170,kondopoga,62.2057,34.2614,-558.3399999999999,95,99,2.48,RU,1702254416
171,dudinka,69.4058,86.1778,-572.0699999999999,97,100,5.36,RU,1702253818
172,port saint john's,-31.6229,29.5448,-528.26,86,100,1.34,ZA,1702254416
173,suva,-18.1416,178.4415,-518.5899999999999,57,40,4.63,FJ,1702254148
174,fada,9.5667,8.3,-526.91,25,11,2.64,NG,1702254417
175,kasane,-17.8167,25.15,-525.5999999999999,81,100,3.5,BW,1702254417
176,altamont,42.2068,-121.7372,-540.31,74,100,0.89,US,1702254417
177,kununurra,-15.7667,128.7333,-517.31,45,56,5.66,AU,1702254123
178,ushuaia,-54.8,-68.3,-538.49,49,0,5.66,AR,1702253845
179,mahibadhoo,3.7833,72.9667,-517.91,74,98,2.98,MV,1702254150
180,sanctuary point,-35.1114,150.629,-517.9799999999999,65,97,2.93,AU,1702254418
181,winnemucca,40.973,-117.7357,-540.27,39,0,2.06,US,1702254419
182,isangel,-19.55,169.2667,-517.24,58,75,3.09,VU,1702253834
183,bratsk,56.1325,101.6142,-581.03,96,71,0.58,RU,1702254207
184,merizo village,13.2658,144.6691,-516.65,83,83,6.7,GU,1702254073
185,tucuma,-0.1833,-50.05,-519.92,83,53,4.01,BR,1702254420
186,greenville,35.6127,-77.3663,-528.28,98,100,4.63,US,1702254420
187,zhezqazghan,47.7833,67.7667,-565.18,64,15,5.58,KZ,1702254421
188,paso de los libres,-29.7131,-57.0899,-523.28,68,0,4.12,AR,1702254421
189,udachny,66.4167,112.4,-575.5,82,100,5.54,RU,1702253857
190,quincy,42.2529,-71.0023,-529.27,94,100,8.23,US,1702254223
191,bredasdorp,-34.5322,20.0403,-530.8499999999999,81,0,1.51,ZA,1702253829
192,mega,4.05,38.3,-530.79,61,6,3.29,ET,1702254422
193,goroka,-6.0834,145.3873,-523.4799999999999,72,100,1.16,PG,1702254347
194,tiksi,71.6872,128.8694,-571.5699999999999,100,100,2.11,RU,1702253870
195,diawara,15.022,-12.5437,-521.4699999999999,17,7,4.37,SN,1702254423
196,tromso,69.6496,18.957,-549.29,68,75,8.23,NO,1702254045
197,anan,33.9167,134.65,-533.42,76,100,2.21,JP,1702254424
