City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
302,rawson,-43.3002,-65.1023,290.28,49,56,1.38,AR,1702340445,17.129999999999995
303,rodolfo sanchez taboada,31.7167,-116.5667,290.43,67,100,0.45,MX,1702340617,17.28000000000003
304,yakeshi,49.2833,120.7333,233.81,100,90,1.21,CN,1702340618,-39.339999999999975
305,shar,49.5886,81.0453,252.03,94,100,6.28,KZ,1702340618,-21.119999999999976
306,sisimiut,66.9395,-53.6735,272.18,94,100,8.16,GL,1702340618,-0.9699999999999704
307,lichinga,-13.3128,35.2406,292.2,94,75,3.6,MZ,1702340619,19.05000000000001
308,elverum,60.8819,11.5623,263.92,98,97,1.45,NO,1702340619,-9.229999999999961
309,eldorado at santa fe,35.5264,-105.9347,278.12,52,0,0.45,US,1702340619,4.970000000000027
310,georgetown,5.4112,100.3354,300.34,92,20,1.54,MY,1702340493,27.189999999999998
311,ust'-ordynskiy,52.805,104.7508,240.0,98,51,1.25,RU,1702340620,-33.14999999999998
312,kambove,-10.8764,26.5969,290.44,98,100,0.95,CD,1702340620,17.29000000000002
313,tougan,13.0667,-3.0667,294.93,18,0,4.31,BF,1702340621,21.78000000000003
314,pandan,14.0453,124.1694,300.58,83,96,3.61,PH,1702340621,27.430000000000007
315,hithadhoo,-0.6,73.0833,300.35,78,45,2.28,MV,1702340621,27.200000000000045
316,geraldton,-28.7667,114.6,305.38,15,0,7.72,AU,1702340501,32.23000000000002
317,hilo,19.7297,-155.09,299.4,88,75,2.06,US,1702340622,26.25
318,rute,37.3269,-4.3683,285.03,61,100,0.52,ES,1702340622,11.879999999999995
319,bardai,11.65,7.2333,287.26,35,0,4.18,NG,1702340623,14.110000000000014
320,sinegorskiy,48.0139,40.8447,272.14,88,100,9.63,RU,1702340623,-1.009999999999991
321,lubang,13.8584,120.124,300.43,79,34,9.45,PH,1702340623,27.28000000000003
322,machico,32.7,-16.7667,293.22,82,20,2.57,PT,1702340566,20.07000000000005
323,sarina,-21.4333,149.2167,299.97,1,99,7.93,AU,1702340624,26.82000000000005
324,xichang,27.8964,102.2634,279.81,88,8,0.6,CN,1702340624,6.660000000000025
325,zhigalovo,54.8097,105.1578,236.51,100,31,0.15,RU,1702340625,-36.639999999999986
326,darwin,-12.4611,130.8418,305.87,70,20,2.06,AU,1702340625,32.72000000000003
327,dunedin,-45.8742,170.5036,285.82,51,87,6.71,NZ,1702340472,12.670000000000016
328,guarapari,-20.6667,-40.4975,299.2,89,99,3.63,BR,1702340626,26.05000000000001
329,pipar,26.3856,73.5378,287.35,27,7,2.08,IN,1702340626,14.200000000000045
330,waingapu,-9.6567,120.2641,301.7,74,63,1.31,ID,1702340601,28.55000000000001
331,sijunjung,-0.6876,100.9537,295.81,98,100,0.59,ID,1702340627,22.660000000000025
332,sakaraha,-22.9,44.5333,297.45,60,68,1.47,MG,1702340627,24.30000000000001
333,xinmin,41.9908,122.8253,258.82,50,0,4.15,CN,1702340627,-14.329999999999984
334,yanahuanca,-10.5167,-76.4986,280.61,79,89,2.37,PE,1702340628,7.460000000000036
335,bugene,-1.5911,31.1403,287.49,95,94,0.94,TZ,1702340628,14.340000000000032
336,yaren,-0.5472,166.916,302.23,75,16,5.38,NR,1702340628,29.08000000000004
337,korla,41.7597,86.1469,269.17,64,59,1.57,CN,1702340629,-3.9799999999999613
338,arar,30.9753,41.0381,291.16,25,0,2.06,SA,1702340629,18.010000000000048
339,north tamworth,-31.0778,150.9261,303.21,42,0,2.57,AU,1702340629,30.060000000000002
340,tura,25.5198,90.2201,287.65,93,8,1.25,IN,1702340630,14.5
341,tromso,69.6496,18.957,270.16,86,40,3.6,NO,1702340630,-2.9899999999999523
342,porto novo,6.4965,2.6036,299.71,81,57,2.22,BJ,1702340631,26.560000000000002
343,hirara,24.8,125.2833,296.07,100,75,8.23,JP,1702340631,22.920000000000016
344,aasiaat,68.7098,-52.8699,272.37,78,100,5.74,GL,1702340402,-0.7799999999999727
345,cadale,2.7603,46.3222,300.01,78,59,6.55,SO,1702340632,26.860000000000014
346,sundsvall,62.3913,17.3063,269.13,86,100,3.09,SE,1702340632,-4.019999999999982
347,st. john's,47.5649,-52.7093,285.81,94,20,12.35,CA,1702340632,12.660000000000025
348,bonthe,7.5264,-12.505,299.56,82,9,2.17,SL,1702340633,26.410000000000025
349,bikenibeu village,1.3673,173.1241,301.67,73,85,1.79,KI,1702340633,28.52000000000004
350,reggane,26.7158,0.1714,290.23,32,13,4.95,DZ,1702340633,17.08000000000004
351,tsiombe,-25.3,45.4833,296.81,93,62,0.81,MG,1702340634,23.660000000000025
352,bel ombre,-4.6167,55.4167,300.06,78,40,2.57,SC,1702340634,26.910000000000025
353,rio grande,-32.035,-52.0986,295.21,85,21,7.24,BR,1702340582,22.060000000000002
354,ortaca,36.8294,28.7708,284.04,100,40,3.09,TR,1702340635,10.890000000000043
355,kruisfontein,-34.0033,24.7314,287.53,87,1,3.49,ZA,1702340635,14.379999999999995
356,leninskoye,41.7589,69.3864,265.05,96,100,1.85,KZ,1702340635,-8.099999999999966
357,fisterra,42.9049,-9.2629,290.38,94,100,9.05,ES,1702340636,17.230000000000018
358,ashland,40.8167,-82.2665,273.16,85,59,2.29,US,1702340448,0.010000000000047748
359,clarksdale,34.2001,-90.5709,281.43,44,6,3.13,US,1702340521,8.28000000000003
360,warman,52.3168,-106.5679,264.1,61,20,5.14,CA,1702340637,-9.049999999999955
361,fuerte olimpo,-21.0415,-57.8738,302.41,58,35,1.4,PY,1702340637,29.260000000000048
362,point pedro,9.8167,80.2333,299.78,76,89,6.24,LK,1702340638,26.629999999999995
363,fort st. john,56.2499,-120.8529,268.09,74,40,3.6,CA,1702340521,-5.060000000000002
364,spencer,43.1414,-95.1444,277.35,61,0,4.12,US,1702340638,4.2000000000000455
365,xiva,41.3783,60.3639,255.14,43,0,8.47,UZ,1702340639,-18.00999999999999
366,grande prairie,55.1667,-118.8027,266.25,86,75,2.06,CA,1702340402,-6.899999999999977
367,zeya,53.75,127.2667,240.09,94,5,1.41,RU,1702340639,-33.059999999999974
368,yasuj,30.6682,51.588,273.9,51,0,0.0,IR,1702340640,0.75
369,afaahiti,-17.75,-149.2833,303.08,80,94,9.73,PF,1702340640,29.930000000000007
370,labytnangi,66.6572,66.4183,247.12,98,100,3.68,RU,1702340640,-26.029999999999973
371,laascaanood,8.4774,47.3597,293.44,72,52,3.49,SO,1702340438,20.29000000000002
372,nantucket,41.2835,-70.0995,279.23,65,75,8.23,US,1702340562,6.080000000000041
373,nogliki,51.8333,143.1667,251.12,93,7,4.02,RU,1702340641,-22.029999999999973
374,illizi,26.4833,8.4667,283.04,36,0,2.53,DZ,1702340642,9.890000000000043
375,tweed heads,-28.1817,153.547,301.58,54,40,3.6,AU,1702340488,28.430000000000007
376,richards bay,-28.783,32.0377,292.17,95,62,1.63,ZA,1702340643,19.02000000000004
377,hobyo,5.3505,48.5268,299.74,73,91,7.62,SO,1702340643,26.590000000000032
378,pasuquin,18.3328,120.6177,299.12,94,20,2.06,PH,1702340644,25.970000000000027
379,hammerfest,70.6634,23.6821,271.4,100,75,5.14,NO,1702340355,-1.75
